Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
01/06/18,at Virginia,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,0,0.0
01/09/18, Boston College,,1,0-1,.000,0-1,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,0,0.0
01/16/18, Clemson,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,0,0.0
01/20/18, Georgia Tech,,1,1-1,1.000,0-0,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,2,0.5
01/22/18,at Virginia Tech,,0,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,0,0.4
02/03/18, Pittsburgh,,2,0-0,.000,0-0,.000,0-0,.000,0,1,1,0.2,0,0,0,0,0,0,0.3
02/12/18, Notre Dame,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.1,0,0,0,0,0,0,0.3
02/27/18, Miami,*,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.1,0,0,0,0,0,0,0.3
03/07/18,vs Syracuse,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.1,0,0,0,0,0,0,0.2
03/08/18,vs Miami,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.1,0,0,0,0,0,0,0.2
