Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
12/20/17, Wofford,,17,1-5,.200,1-5,.200,7-8,.875,1,2,3,3.0,0,1,0,0,1,10,10.0
12/23/17,vs Ohio State,,23,4-7,.571,2-4,.500,4-4,1.000,2,3,5,4.0,2,0,3,0,1,14,12.0
12/30/17, Wake Forest,,28,4-7,.571,3-4,.750,0-0,.000,1,4,5,4.3,0,0,0,0,0,11,11.7
01/03/18,at Florida State,,25,3-8,.375,1-3,.333,0-0,.000,2,6,8,5.3,3,6,2,1,2,7,10.5
01/06/18,at Virginia,,23,2-8,.250,1-5,.200,0-0,.000,2,1,3,4.8,3,0,1,0,0,5,9.4
01/09/18, Boston College,*,32,5-10,.500,0-3,.000,4-4,1.000,6,5,11,5.8,2,5,0,0,1,14,10.2
01/13/18,at Notre Dame,*,30,2-10,.200,1-5,.200,2-2,1.000,1,3,4,5.6,0,2,2,0,0,7,9.7
01/16/18, Clemson,*,28,7-10,.700,6-9,.667,1-2,.500,1,3,4,5.4,3,3,2,0,0,21,11.1
01/20/18, Georgia Tech,*,31,6-12,.500,2-4,.500,2-2,1.000,1,2,3,5.1,2,1,0,0,1,16,11.7
01/22/18,at Virginia Tech,*,26,1-9,.111,1-6,.167,0-0,.000,0,3,3,4.9,2,1,0,0,0,3,10.8
01/27/18, North Carolina State,*,33,5-9,.556,0-4,.000,2-2,1.000,2,0,2,4.6,3,6,3,0,1,12,10.9
01/30/18,at Clemson,*,32,10-18,.556,6-10,.600,6-6,1.000,1,3,4,4.6,3,1,2,0,1,32,12.7
02/03/18, Pittsburgh,*,30,5-14,.357,1-7,.143,3-5,.600,0,2,2,4.4,0,4,0,0,2,14,12.8
02/08/18, Duke,*,35,7-15,.467,4-8,.500,0-0,.000,6,7,13,5.0,2,2,0,1,0,18,13.1
02/10/18,at North Carolina State,*,31,5-12,.417,0-5,.000,3-3,1.000,0,2,2,4.8,1,1,0,1,1,13,13.1
02/12/18, Notre Dame,*,34,6-10,.600,1-3,.333,0-0,.000,2,1,3,4.7,2,3,1,0,0,13,13.1
02/17/18,at LOUISVILLE,*,35,5-13,.385,2-4,.500,0-0,.000,2,1,3,4.6,3,3,2,1,0,12,13.1
02/21/18,at Syracuse,*,28,2-9,.222,0-4,.000,2-2,1.000,1,4,5,4.6,3,3,0,0,1,6,12.7
02/27/18, Miami,,33,7-10,.700,3-5,.600,3-5,.600,1,4,5,4.6,2,2,0,0,0,20,13.1
03/03/18,at Duke,*,35,5-17,.294,4-12,.333,2-2,1.000,1,3,4,4.6,2,2,2,0,1,16,13.2
03/07/18,vs Syracuse,*,34,5-12,.417,2-6,.333,1-2,.500,2,3,5,4.6,0,4,1,0,0,13,13.2
03/08/18,vs Miami,*,31,3-8,.375,1-4,.250,6-7,.857,5,2,7,4.7,1,5,0,1,1,13,13.2
