Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/15/17, Bucknell,*,30,1-11,.091,1-5,.200,5-6,.833,1,3,4,4.0,2,6,1,0,2,8,8.0
11/20/17,at STANFORD,*,30,10-19,.526,5-11,.455,4-4,1.000,1,0,1,2.5,2,3,2,0,0,29,18.5
11/23/17,vs Portland,*,26,6-14,.429,4-9,.444,2-2,1.000,0,3,3,2.7,0,2,0,0,1,18,18.3
11/24/17,vs Arkansas,*,34,3-12,.250,0-1,.000,7-8,.875,0,2,2,2.5,2,4,0,0,1,13,17.0
11/26/17,vs Michigan State,*,33,2-11,.182,1-6,.167,2-4,.500,0,2,2,2.4,1,3,3,0,2,7,15.0
11/29/17, Michigan,*,31,6-15,.400,3-7,.429,2-2,1.000,1,4,5,2.8,1,4,1,2,0,17,15.3
12/01/17,at Davidson,*,32,8-15,.533,4-11,.364,7-7,1.000,0,0,0,2.4,2,4,1,0,0,27,17.0
12/03/17, Tulane,*,27,4-10,.400,1-4,.250,4-5,.800,0,3,3,2.5,2,3,3,1,0,13,16.5
12/06/17, Western Carolina,*,22,3-11,.273,2-4,.500,4-4,1.000,1,1,2,2.4,0,4,1,1,3,12,16.0
12/17/17,at Tennessee,*,28,7-19,.368,3-9,.333,4-4,1.000,1,3,4,2.6,3,2,3,0,1,21,16.5
12/20/17, Wofford,*,35,7-16,.438,3-8,.375,6-7,.857,0,5,5,2.8,3,3,3,0,0,23,17.1
12/23/17,vs Ohio State,*,28,7-14,.500,3-8,.375,2-3,.667,0,3,3,2.8,3,1,2,0,1,19,17.3
12/30/17, Wake Forest,*,35,7-17,.412,2-8,.250,0-0,.000,0,6,6,3.1,1,2,3,0,2,16,17.2
01/03/18,at Florida State,*,35,10-23,.435,4-8,.500,4-4,1.000,0,2,2,3.0,1,1,2,0,2,28,17.9
01/06/18,at Virginia,*,34,7-17,.412,3-8,.375,0-0,.000,2,6,8,3.3,2,2,2,0,2,17,17.9
01/09/18, Boston College,*,29,4-13,.308,3-8,.375,2-2,1.000,1,2,3,3.3,2,3,0,1,0,13,17.6
01/13/18,at Notre Dame,*,35,5-11,.455,3-6,.500,2-2,1.000,1,1,2,3.2,2,3,0,0,0,15,17.4
01/16/18, Clemson,*,36,4-12,.333,4-9,.444,5-5,1.000,0,0,0,3.1,0,4,2,0,1,17,17.4
01/20/18, Georgia Tech,*,31,3-17,.176,1-8,.125,9-10,.900,2,6,8,3.3,3,2,2,0,0,16,17.3
01/22/18,at Virginia Tech,*,33,9-19,.474,4-12,.333,1-1,1.000,1,6,7,3.5,0,2,5,0,0,23,17.6
01/27/18, North Carolina State,*,41,3-12,.250,0-3,.000,0-1,.000,1,2,3,3.5,2,4,3,3,0,6,17.0
01/30/18,at Clemson,*,39,10-16,.625,3-7,.429,4-4,1.000,0,3,3,3.5,2,4,3,0,2,27,17.5
02/03/18, Pittsburgh,*,29,4-10,.400,4-8,.500,0-0,.000,0,6,6,3.6,1,6,0,0,1,12,17.3
02/08/18, Duke,*,37,7-20,.350,1-8,.125,6-7,.857,0,4,4,3.6,1,6,0,0,2,21,17.4
02/10/18,at North Carolina State,*,35,7-13,.538,1-3,.333,1-1,1.000,1,4,5,3.6,2,0,3,0,2,16,17.4
02/12/18, Notre Dame,*,33,8-15,.533,2-5,.400,3-3,1.000,0,3,3,3.6,0,1,1,1,0,21,17.5
02/17/18,at LOUISVILLE,*,36,9-20,.450,5-11,.455,0-0,.000,1,7,8,3.8,1,5,2,1,1,23,17.7
02/21/18,at Syracuse,*,36,6-17,.353,4-12,.333,2-2,1.000,1,2,3,3.8,1,4,1,0,1,18,17.7
02/27/18, Miami,*,36,11-17,.647,5-8,.625,4-7,.571,1,1,2,3.7,3,3,3,1,3,31,18.2
03/03/18,at Duke,*,36,3-11,.273,0-7,.000,0-0,.000,0,2,2,3.6,3,5,3,0,2,6,17.8
03/07/18,vs Syracuse,*,36,2-9,.222,2-7,.286,2-2,1.000,1,1,2,3.6,1,4,2,0,0,8,17.5
03/08/18,vs Miami,*,32,4-14,.286,1-6,.167,2-2,1.000,0,2,2,3.5,1,2,1,1,1,11,17.3
