Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,,16,0-2,.000,0-1,.000,2-2,1.000,0,2,2,2.0,1,3,0,0,0,2,2.0
11/23/17,vs Portland,,12,1-4,.250,1-2,.500,0-0,.000,1,2,3,2.5,2,2,1,1,1,3,2.5
11/24/17,vs Arkansas,,15,2-4,.500,0-0,.000,1-1,1.000,2,4,6,3.7,2,0,0,0,0,5,3.3
11/26/17,vs Michigan State,,10,0-1,.000,0-1,.000,0-0,.000,0,0,0,2.8,0,0,0,0,1,0,2.5
11/29/17, Michigan,,13,0-1,.000,0-0,.000,0-0,.000,0,1,1,2.4,1,0,1,0,0,0,2.0
12/01/17,at Davidson,,13,4-7,.571,0-1,.000,0-0,.000,1,1,2,2.3,3,1,0,0,0,8,3.0
12/03/17, Tulane,,14,0-2,.000,0-0,.000,0-0,.000,2,1,3,2.4,1,1,0,0,0,0,2.6
12/06/17, Western Carolina,,18,3-4,.750,2-2,1.000,2-2,1.000,1,3,4,2.6,3,1,3,0,1,10,3.5
12/17/17,at Tennessee,,11,0-0,.000,0-0,.000,1-2,.500,0,2,2,2.6,3,1,2,1,0,1,3.2
12/20/17, Wofford,,8,0-0,.000,0-0,.000,0-0,.000,1,0,1,2.4,1,0,0,0,0,0,2.9
12/23/17,vs Ohio State,,8,1-1,1.000,1-1,1.000,2-2,1.000,1,0,1,2.3,2,2,2,0,0,5,3.1
12/30/17, Wake Forest,,2,0-1,.000,0-0,.000,0-0,.000,0,0,0,2.1,1,0,0,0,0,0,2.8
01/03/18,at Florida State,,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.9,1,0,0,0,0,0,2.6
01/06/18,at Virginia,,7,0-1,.000,0-0,.000,0-0,.000,3,0,3,2.0,1,0,0,0,0,0,2.4
01/09/18, Boston College,,4,1-2,.500,0-1,.000,0-0,.000,0,0,0,1.9,0,0,1,0,0,2,2.4
01/13/18,at Notre Dame,,8,0-3,.000,0-1,.000,0-0,.000,0,1,1,1.8,2,0,0,0,1,0,2.3
01/16/18, Clemson,,9,2-2,1.000,2-2,1.000,0-0,.000,2,0,2,1.8,2,2,0,0,1,6,2.5
01/20/18, Georgia Tech,,8,0-1,.000,0-0,.000,0-0,.000,0,0,0,1.7,0,0,0,0,0,0,2.3
01/22/18,at Virginia Tech,,15,2-2,1.000,1-1,1.000,0-0,.000,1,0,1,1.7,1,0,1,1,0,5,2.5
01/27/18, North Carolina State,,9,0-1,.000,0-1,.000,0-0,.000,0,0,0,1.6,0,0,0,0,0,0,2.4
01/30/18,at Clemson,,10,0-2,.000,0-1,.000,1-3,.333,0,2,2,1.6,1,2,1,0,0,1,2.3
02/03/18, Pittsburgh,,10,1-1,1.000,0-0,.000,0-0,.000,0,3,3,1.7,1,2,1,0,0,2,2.3
02/08/18, Duke,,6,0-3,.000,0-1,.000,0-0,.000,1,0,1,1.7,1,0,0,1,0,0,2.2
02/10/18,at North Carolina State,,10,1-3,.333,1-2,.500,0-0,.000,0,1,1,1.6,2,1,1,0,0,3,2.2
02/12/18, Notre Dame,,9,1-2,.500,0-1,.000,0-0,.000,0,1,1,1.6,1,1,0,0,0,2,2.2
02/17/18,at LOUISVILLE,,4,0-0,.000,0-0,.000,0-0,.000,1,0,1,1.6,1,0,0,0,0,0,2.1
02/21/18,at Syracuse,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.5,0,0,0,0,0,0,2.0
02/27/18, Miami,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.5,0,0,0,0,0,0,2.0
03/03/18,at Duke,,5,0-0,.000,0-0,.000,0-0,.000,1,0,1,1.4,2,0,0,0,0,0,1.9
03/07/18,vs Syracuse,,5,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.4,2,0,0,1,0,0,1.8
03/08/18,vs Miami,,8,1-1,1.000,1-1,1.000,0-0,.000,1,2,3,1.5,1,2,1,0,0,3,1.9
