Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,,9,2-4,.500,0-0,.000,0-0,.000,0,1,1,1.0,2,0,0,0,0,4,4.0
11/15/17, Bucknell,,4,2-2,1.000,0-0,.000,0-0,.000,1,1,2,1.5,1,0,0,1,0,4,4.0
11/20/17,at STANFORD,,9,2-2,1.000,0-0,.000,4-4,1.000,1,4,5,2.7,4,0,0,0,0,8,5.3
11/23/17,vs Portland,,9,2-4,.500,0-0,.000,1-2,.500,3,0,3,2.8,1,0,2,1,0,5,5.3
11/24/17,vs Arkansas,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,2.2,0,0,0,0,0,0,4.2
11/26/17,vs Michigan State,,4,0-3,.000,0-0,.000,0-0,.000,2,0,2,2.2,1,0,0,0,0,0,3.5
11/29/17, Michigan,,1,1-3,.333,0-0,.000,0-0,.000,0,1,1,2.0,0,0,0,1,0,2,3.3
12/01/17,at Davidson,,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.8,0,0,1,0,0,0,2.9
12/03/17, Tulane,,12,4-4,1.000,0-0,.000,1-4,.250,1,5,6,2.2,1,0,0,2,0,9,3.6
12/06/17, Western Carolina,,13,2-3,.667,0-0,.000,0-0,.000,2,6,8,2.8,2,0,2,2,0,4,3.6
12/17/17,at Tennessee,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,2.5,1,0,0,0,0,0,3.3
12/20/17, Wofford,,2,0-0,.000,0-0,.000,1-2,.500,1,0,1,2.4,0,0,0,0,0,1,3.1
12/23/17,vs Ohio State,,0,0-0,.000,0-0,.000,0-0,.000,0,0,0,2.2,0,0,0,0,0,0,2.8
12/30/17, Wake Forest,,5,0-2,.000,0-0,.000,0-0,.000,0,2,2,2.2,1,0,2,0,0,0,2.6
01/03/18,at Florida State,,2,0-1,.000,0-0,.000,0-0,.000,1,0,1,2.1,1,0,0,0,0,0,2.5
01/06/18,at Virginia,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,2.0,0,0,0,0,0,0,2.3
01/09/18, Boston College,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.9,0,0,0,0,0,0,2.2
01/16/18, Clemson,,2,0-0,.000,0-0,.000,0-0,.000,0,2,2,1.9,1,0,1,0,0,0,2.1
01/20/18, Georgia Tech,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.8,0,0,0,0,0,0,1.9
01/22/18,at Virginia Tech,,0,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.7,0,0,0,0,0,0,1.9
01/30/18,at Clemson,,2,0-1,.000,0-0,.000,0-0,.000,1,0,1,1.7,1,0,1,0,0,0,1.8
02/03/18, Pittsburgh,,5,1-2,.500,0-0,.000,1-2,.500,1,1,2,1.7,0,0,1,1,0,3,1.8
02/12/18, Notre Dame,,1,1-1,1.000,0-0,.000,1-2,.500,1,0,1,1.7,0,0,0,0,0,3,1.9
03/03/18,at Duke,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.6,1,0,0,0,0,0,1.8
03/07/18,vs Syracuse,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.5,0,0,0,0,0,0,1.7
03/08/18,vs Miami,,1,1-1,1.000,0-0,.000,0-0,.000,0,1,1,1.5,0,1,0,0,0,2,1.7
