Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,*,28,11-16,.688,2-3,.667,2-2,1.000,3,7,10,10.0,2,0,1,1,1,26,26.0
11/15/17, Bucknell,*,37,6-12,.500,3-4,.750,5-8,.625,1,8,9,9.5,4,4,1,2,1,20,23.0
11/20/17,at STANFORD,*,31,6-15,.400,0-2,.000,0-2,.000,2,7,9,9.3,3,5,1,0,0,12,19.3
11/23/17,vs Portland,*,27,9-15,.600,0-3,.000,2-4,.500,3,7,10,9.5,2,0,1,0,0,20,19.5
11/24/17,vs Arkansas,*,34,11-16,.688,4-5,.800,2-4,.500,5,11,16,10.8,2,5,5,1,0,28,21.2
11/26/17,vs Michigan State,*,32,3-13,.231,0-3,.000,2-7,.286,2,4,6,10.0,2,1,1,2,1,8,19.0
11/29/17, Michigan,*,31,11-16,.688,1-2,.500,4-5,.800,1,5,6,9.4,2,3,1,1,0,27,20.1
12/01/17,at Davidson,*,35,10-18,.556,1-2,.500,3-4,.750,7,10,17,10.4,2,0,1,0,1,24,20.6
12/03/17, Tulane,*,32,8-12,.667,0-1,.000,6-9,.667,2,8,10,10.3,1,4,2,4,0,22,20.8
12/06/17, Western Carolina,*,26,5-7,.714,2-2,1.000,0-0,.000,2,10,12,10.5,1,5,2,0,1,12,19.9
12/17/17,at Tennessee,*,29,7-14,.500,1-2,.500,0-1,.000,3,5,8,10.3,3,0,3,0,1,15,19.5
12/20/17, Wofford,*,36,4-16,.250,2-6,.333,7-8,.875,1,13,14,10.6,2,1,1,2,0,17,19.3
12/23/17,vs Ohio State,*,31,3-8,.375,1-2,.500,2-2,1.000,1,9,10,10.5,3,4,2,1,2,9,18.5
12/30/17, Wake Forest,*,32,7-18,.389,1-3,.333,2-3,.667,2,13,15,10.9,2,2,3,2,0,17,18.4
01/03/18,at Florida State,*,35,6-14,.429,2-4,.500,0-2,.000,2,4,6,10.5,1,2,0,0,1,14,18.1
01/06/18,at Virginia,*,32,2-10,.200,1-2,.500,1-3,.333,3,5,8,10.4,0,0,2,1,0,6,17.3
01/09/18, Boston College,*,33,13-20,.650,4-5,.800,2-2,1.000,3,15,18,10.8,3,2,3,1,0,32,18.2
01/13/18,at Notre Dame,*,34,8-14,.571,1-3,.333,1-2,.500,5,6,11,10.8,3,3,0,1,3,18,18.2
01/16/18, Clemson,*,32,4-8,.500,1-2,.500,2-4,.500,0,4,4,10.5,4,5,2,2,2,11,17.8
01/20/18, Georgia Tech,*,32,7-13,.538,1-3,.333,2-2,1.000,5,6,11,10.5,1,2,2,0,2,17,17.8
01/22/18,at Virginia Tech,*,34,10-16,.625,3-4,.750,0-0,.000,5,4,9,10.4,1,1,2,3,0,23,18.0
01/27/18, North Carolina State,*,37,12-23,.522,3-6,.500,4-8,.500,4,8,12,10.5,3,2,1,3,0,31,18.6
01/30/18,at Clemson,*,34,2-8,.250,0-2,.000,0-0,.000,2,7,9,10.4,4,2,2,3,2,4,18.0
02/03/18, Pittsburgh,*,31,9-15,.600,3-5,.600,5-5,1.000,2,6,8,10.3,3,5,1,0,3,26,18.3
02/08/18, Duke,*,33,7-15,.467,0-3,.000,1-2,.500,4,4,8,10.2,2,1,0,0,0,15,18.2
02/10/18,at North Carolina State,*,36,15-22,.682,2-3,.667,1-1,1.000,8,9,17,10.5,4,3,6,2,1,33,18.7
02/12/18, Notre Dame,*,30,3-11,.273,0-2,.000,2-2,1.000,2,6,8,10.4,3,4,1,2,0,8,18.3
02/17/18,at LOUISVILLE,*,34,8-18,.444,3-6,.500,0-0,.000,6,7,13,10.5,4,3,3,0,4,19,18.4
02/21/18,at Syracuse,*,36,4-8,.500,0-0,.000,1-2,.500,1,2,3,10.2,4,4,1,1,3,9,18.0
02/27/18, Miami,*,34,6-10,.600,1-3,.333,1-2,.500,3,7,10,10.2,3,0,2,0,0,14,17.9
03/03/18,at Duke,*,33,6-15,.400,1-2,.500,0-0,.000,1,6,7,10.1,2,1,3,2,2,13,17.7
03/07/18,vs Syracuse,*,33,4-9,.444,0-1,.000,5-7,.714,3,6,9,10.1,3,2,4,0,2,13,17.6
03/08/18,vs Miami,*,30,1-15,.067,0-5,.000,0-0,.000,5,8,13,10.2,1,2,1,0,0,2,17.1
