Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,,18,3-6,.500,0-0,.000,3-4,.750,0,0,0,0.0,2,2,1,0,2,9,9.0
11/15/17, Bucknell,,10,1-2,.500,0-0,.000,0-0,.000,0,2,2,1.0,1,1,1,0,0,2,5.5
11/20/17,at STANFORD,,12,1-4,.250,0-1,.000,0-0,.000,0,2,2,1.3,0,1,1,0,1,2,4.3
11/23/17,vs Portland,,14,0-3,.000,0-0,.000,0-0,.000,0,4,4,2.0,1,2,0,0,0,0,3.3
11/24/17,vs Arkansas,,6,0-2,.000,0-1,.000,0-0,.000,0,1,1,1.8,1,1,0,0,0,0,2.6
11/26/17,vs Michigan State,,8,0-1,.000,0-0,.000,0-0,.000,0,0,0,1.5,0,1,1,0,1,0,2.2
11/29/17, Michigan,,8,2-2,1.000,0-0,.000,0-0,.000,0,1,1,1.4,0,4,1,0,0,4,2.4
02/08/18, Duke,,3,0-1,.000,0-0,.000,0-0,.000,0,0,0,1.3,0,0,0,0,0,0,2.1
02/10/18,at North Carolina State,,4,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.1,0,1,0,0,0,0,1.9
02/12/18, Notre Dame,,6,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.0,3,0,0,0,0,0,1.7
02/17/18,at LOUISVILLE,,8,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.9,2,2,1,0,0,0,1.5
02/21/18,at Syracuse,,4,0-0,.000,0-0,.000,0-0,.000,0,1,1,0.9,1,1,0,0,0,0,1.4
02/27/18, Miami,,4,0-1,.000,0-1,.000,0-0,.000,0,0,0,0.8,2,0,3,0,1,0,1.3
03/03/18,at Duke,,5,0-1,.000,0-0,.000,0-0,.000,0,0,0,0.8,1,0,0,0,1,0,1.2
03/07/18,vs Syracuse,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.7,0,1,1,0,0,0,1.1
03/08/18,vs Miami,,6,1-3,.333,0-0,.000,1-1,1.000,0,0,0,0.7,1,1,0,0,0,3,1.3
