Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,*,26,1-6,.167,1-6,.167,0-0,.000,0,3,3,3.0,1,5,0,0,0,3,3.0
11/15/17, Bucknell,*,33,5-12,.417,0-3,.000,9-10,.900,0,5,5,4.0,3,6,2,0,1,19,11.0
11/20/17,at STANFORD,*,29,4-8,.500,0-1,.000,1-2,.500,1,4,5,4.3,1,2,2,0,0,9,10.3
11/23/17,vs Portland,*,25,4-7,.571,1-3,.333,2-4,.500,2,7,9,5.5,1,7,3,1,0,11,10.5
11/24/17,vs Arkansas,*,33,3-6,.500,0-1,.000,3-4,.750,1,3,4,5.2,3,2,5,3,0,9,10.2
11/26/17,vs Michigan State,*,33,6-13,.462,0-5,.000,4-4,1.000,2,4,6,5.3,1,0,4,1,1,16,11.2
11/29/17, Michigan,*,33,3-6,.500,0-1,.000,2-4,.500,2,5,7,5.6,0,6,2,1,1,8,10.7
12/01/17,at Davidson,*,27,2-4,.500,0-0,.000,2-3,.667,0,6,6,5.6,3,5,2,1,0,6,10.1
12/03/17, Tulane,*,28,4-6,.667,0-0,.000,1-2,.500,1,3,4,5.4,2,4,1,0,1,9,10.0
12/06/17, Western Carolina,*,23,2-4,.500,0-1,.000,0-0,.000,0,2,2,5.1,0,7,3,1,0,4,9.4
12/17/17,at Tennessee,*,35,1-5,.200,0-1,.000,5-5,1.000,1,8,9,5.5,1,8,2,0,2,7,9.2
12/20/17, Wofford,*,24,0-1,.000,0-1,.000,2-2,1.000,0,2,2,5.2,4,4,5,1,1,2,8.6
12/23/17,vs Ohio State,*,30,4-11,.364,1-2,.500,10-10,1.000,2,3,5,5.2,3,1,3,0,1,19,9.4
12/30/17, Wake Forest,*,29,2-5,.400,0-0,.000,4-5,.800,2,5,7,5.3,3,6,3,0,0,8,9.3
01/03/18,at Florida State,*,24,2-6,.333,0-0,.000,1-1,1.000,0,3,3,5.1,5,4,1,0,2,5,9.0
01/06/18,at Virginia,*,27,0-3,.000,0-1,.000,4-4,1.000,0,2,2,4.9,0,1,2,0,2,4,8.7
01/09/18, Boston College,*,26,4-7,.571,0-0,.000,0-0,.000,4,4,8,5.1,2,5,0,1,0,8,8.6
01/13/18,at Notre Dame,*,33,4-7,.571,1-1,1.000,4-6,.667,1,6,7,5.2,1,4,0,0,1,13,8.9
01/16/18, Clemson,*,31,2-7,.286,0-4,.000,8-8,1.000,0,7,7,5.3,4,6,2,3,1,12,9.1
01/20/18, Georgia Tech,*,32,4-9,.444,1-1,1.000,2-4,.500,3,7,10,5.6,2,4,3,0,3,11,9.2
01/22/18,at Virginia Tech,*,31,1-2,.500,0-0,.000,2-2,1.000,0,6,6,5.6,1,8,3,0,1,4,8.9
01/27/18, North Carolina State,*,36,10-16,.625,0-1,.000,2-4,.500,3,12,15,6.0,4,1,4,1,1,22,9.5
01/30/18,at Clemson,*,2,0-0,.000,0-0,.000,0-0,.000,1,0,1,5.8,0,1,0,0,0,0,9.1
02/03/18, Pittsburgh,*,27,1-7,.143,0-1,.000,0-0,.000,6,7,13,6.1,3,8,1,0,0,2,8.8
02/08/18, Duke,*,30,2-6,.333,0-1,.000,0-0,.000,2,5,7,6.1,4,4,2,1,2,4,8.6
02/10/18,at North Carolina State,*,29,4-5,.800,0-0,.000,3-4,.750,1,2,3,6.0,0,7,5,0,1,11,8.7
02/12/18, Notre Dame,*,31,6-10,.600,0-0,.000,4-5,.800,3,7,10,6.1,3,5,2,0,0,16,9.0
02/17/18,at LOUISVILLE,*,29,6-11,.545,1-2,.500,6-6,1.000,1,6,7,6.2,3,5,2,0,2,19,9.3
02/21/18,at Syracuse,*,34,9-12,.750,2-2,1.000,3-4,.750,2,4,6,6.2,2,7,3,0,3,23,9.8
02/27/18, Miami,*,39,3-9,.333,2-4,.500,4-4,1.000,0,2,2,6.0,2,11,3,2,2,12,9.9
03/03/18,at Duke,*,33,6-10,.600,0-1,.000,0-1,.000,3,5,8,6.1,4,3,4,0,0,12,9.9
03/07/18,vs Syracuse,*,30,4-9,.444,0-0,.000,8-10,.800,3,8,11,6.3,3,6,2,1,2,16,10.1
03/08/18,vs Miami,*,35,9-12,.750,2-2,1.000,5-6,.833,1,10,11,6.4,2,3,4,1,3,25,10.6
