Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,,10,1-1,1.000,0-0,.000,2-2,1.000,0,0,0,0.0,0,0,0,0,0,4,4.0
11/15/17, Bucknell,,14,0-1,.000,0-0,.000,0-2,.000,1,2,3,1.5,0,1,0,0,0,0,2.0
11/20/17,at STANFORD,,14,1-3,.333,0-1,.000,0-0,.000,1,0,1,1.3,1,0,1,1,1,2,2.0
11/23/17,vs Portland,,10,4-5,.800,2-2,1.000,2-2,1.000,1,1,2,1.5,0,1,0,0,0,12,4.5
11/24/17,vs Arkansas,,7,1-2,.500,0-1,.000,0-0,.000,0,0,0,1.2,0,2,0,1,0,2,4.0
11/26/17,vs Michigan State,,11,2-3,.667,0-1,.000,0-0,.000,1,1,2,1.3,1,0,1,0,0,4,4.0
11/29/17, Michigan,,8,1-1,1.000,0-0,.000,0-0,.000,0,1,1,1.3,1,0,0,0,0,2,3.7
12/01/17,at Davidson,,13,0-2,.000,0-1,.000,0-0,.000,1,2,3,1.5,0,2,0,0,0,0,3.3
12/03/17, Tulane,,10,3-3,1.000,1-1,1.000,0-0,.000,1,1,2,1.6,3,1,0,0,0,7,3.7
12/06/17, Western Carolina,,17,3-6,.500,3-5,.600,2-2,1.000,1,1,2,1.6,0,3,0,0,0,11,4.4
12/17/17,at Tennessee,,9,0-2,.000,0-1,.000,0-0,.000,0,0,0,1.5,1,1,1,0,0,0,4.0
12/20/17, Wofford,,10,0-2,.000,0-1,.000,0-0,.000,0,1,1,1.4,1,0,1,0,0,0,3.7
12/23/17,vs Ohio State,,8,0-1,.000,0-0,.000,0-0,.000,1,0,1,1.4,0,0,1,0,0,0,3.4
12/30/17, Wake Forest,,4,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.3,2,0,1,0,0,0,3.1
01/03/18,at Florida State,,8,1-2,.500,0-1,.000,0-0,.000,0,0,0,1.2,1,0,0,0,0,2,3.1
01/06/18,at Virginia,,3,0-0,.000,0-0,.000,0-0,.000,1,1,2,1.3,1,0,1,0,0,0,2.9
01/09/18, Boston College,,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.2,0,0,0,0,0,0,2.7
01/13/18,at Notre Dame,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.1,1,0,0,0,0,0,2.6
01/16/18, Clemson,,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.1,0,0,0,0,0,0,2.4
01/20/18, Georgia Tech,,4,0-0,.000,0-0,.000,0-0,.000,1,2,3,1.2,0,0,0,0,1,0,2.3
01/22/18,at Virginia Tech,,7,1-3,.333,1-2,.500,0-0,.000,0,0,0,1.1,0,1,0,0,0,3,2.3
01/27/18, North Carolina State,,11,2-2,1.000,1-1,1.000,0-0,.000,1,2,3,1.2,1,1,0,0,0,5,2.5
01/30/18,at Clemson,,15,0-2,.000,0-1,.000,0-0,.000,2,1,3,1.3,2,1,1,0,0,0,2.3
02/03/18, Pittsburgh,,10,1-2,.500,0-1,.000,0-0,.000,0,1,1,1.3,1,2,1,0,0,2,2.3
02/08/18, Duke,,8,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.2,1,0,0,0,0,0,2.2
02/10/18,at North Carolina State,,5,1-2,.500,0-1,.000,0-0,.000,0,0,0,1.2,0,0,0,0,0,2,2.2
02/12/18, Notre Dame,,7,1-2,.500,0-0,.000,0-0,.000,0,2,2,1.2,0,0,0,0,0,2,2.2
02/21/18,at Syracuse,,4,2-2,1.000,1-1,1.000,0-0,.000,0,0,0,1.1,0,0,0,0,0,5,2.3
02/27/18, Miami,,2,0-1,.000,0-1,.000,0-0,.000,0,0,0,1.1,0,0,0,0,0,0,2.2
03/03/18,at Duke,,3,0-1,.000,0-1,.000,0-0,.000,0,1,1,1.1,0,0,0,0,0,0,2.2
03/07/18,vs Syracuse,,5,1-1,1.000,0-0,.000,0-0,.000,1,0,1,1.1,1,1,0,0,1,2,2.2
03/08/18,vs Miami,,4,0-2,.000,0-2,.000,1-2,.500,1,1,2,1.1,1,0,0,0,0,1,2.1
