Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,*,28,3-8,.375,2-4,.500,2-2,1.000,0,1,1,1.0,2,5,1,0,3,10,10.0
11/15/17, Bucknell,*,29,4-7,.571,2-4,.500,0-0,.000,1,0,1,1.0,4,2,3,1,2,10,10.0
11/20/17,at STANFORD,*,31,7-11,.636,6-8,.750,0-0,.000,1,3,4,2.0,1,3,1,0,1,20,13.3
11/23/17,vs Portland,*,25,7-12,.583,1-3,.333,2-2,1.000,3,0,3,2.3,2,3,0,0,3,17,14.3
11/24/17,vs Arkansas,*,35,7-12,.583,3-5,.600,2-2,1.000,0,8,8,3.4,3,1,2,1,1,19,15.2
11/26/17,vs Michigan State,*,26,1-7,.143,0-1,.000,6-8,.750,0,2,2,3.2,3,2,2,0,1,8,14.0
11/29/17, Michigan,*,26,4-7,.571,3-5,.600,1-2,.500,1,1,2,3.0,2,2,1,0,1,12,13.7
12/01/17,at Davidson,*,35,6-14,.429,0-3,.000,0-0,.000,2,4,6,3.4,0,1,1,0,0,12,13.5
12/03/17, Tulane,*,25,5-6,.833,2-3,.667,1-1,1.000,1,5,6,3.7,2,1,2,0,1,13,13.4
12/06/17, Western Carolina,*,20,5-7,.714,3-4,.750,0-0,.000,0,3,3,3.6,0,1,0,1,1,13,13.4
12/17/17,at Tennessee,*,35,6-11,.545,2-4,.500,1-2,.500,2,0,2,3.5,0,1,1,0,0,15,13.5
12/20/17, Wofford,*,32,3-7,.429,1-3,.333,2-3,.667,0,2,2,3.3,2,2,1,0,1,9,13.2
12/23/17,vs Ohio State,*,27,1-4,.250,1-3,.333,0-2,.000,0,3,3,3.3,2,3,1,1,1,3,12.4
12/30/17, Wake Forest,*,31,4-11,.364,1-6,.167,4-4,1.000,1,2,3,3.3,2,4,0,0,2,13,12.4
01/03/18,at Florida State,*,34,7-15,.467,4-11,.364,0-0,.000,3,4,7,3.5,1,3,2,0,1,18,12.8
01/06/18,at Virginia,*,32,4-9,.444,3-6,.500,0-0,.000,1,3,4,3.6,0,3,0,0,1,11,12.7
01/09/18, Boston College,*,32,4-11,.364,2-8,.250,0-0,.000,0,2,2,3.5,1,3,1,1,0,10,12.5
01/13/18,at Notre Dame,*,28,2-7,.286,0-3,.000,1-3,.333,1,2,3,3.4,5,3,2,1,2,5,12.1
01/16/18, Clemson,*,37,5-9,.556,2-5,.400,3-4,.750,1,2,3,3.4,1,2,3,0,1,15,12.3
01/20/18, Georgia Tech,*,29,2-6,.333,0-4,.000,1-2,.500,1,2,3,3.4,3,5,2,0,0,5,11.9
01/22/18,at Virginia Tech,*,26,1-6,.167,0-4,.000,2-2,1.000,2,1,3,3.4,4,0,1,0,1,4,11.5
01/27/18, North Carolina State,*,34,2-4,.500,0-2,.000,0-0,.000,1,3,4,3.4,2,4,0,0,1,4,11.2
01/30/18,at Clemson,*,29,2-6,.333,1-3,.333,1-1,1.000,0,3,3,3.4,1,1,0,0,0,6,11.0
02/03/18, Pittsburgh,*,24,6-9,.667,3-5,.600,0-0,.000,1,1,2,3.3,0,1,1,1,0,15,11.1
02/08/18, Duke,*,32,7-15,.467,6-12,.500,0-0,.000,0,2,2,3.3,2,2,0,2,2,20,11.5
02/10/18,at North Carolina State,*,35,4-8,.500,2-3,.667,1-3,.333,1,4,5,3.3,3,3,2,1,2,11,11.5
02/12/18, Notre Dame,*,31,5-7,.714,3-5,.600,1-4,.250,1,4,5,3.4,2,4,1,1,2,14,11.6
02/17/18,at LOUISVILLE,*,36,5-8,.625,1-4,.250,0-0,.000,1,3,4,3.4,1,2,0,1,0,11,11.5
02/21/18,at Syracuse,*,36,2-7,.286,1-3,.333,0-0,.000,3,5,8,3.6,3,4,2,1,1,5,11.3
02/27/18, Miami,,34,3-7,.429,2-5,.400,0-0,.000,0,2,2,3.5,2,2,1,1,1,8,11.2
03/03/18,at Duke,*,37,4-10,.400,3-8,.375,2-2,1.000,3,5,8,3.7,1,4,2,0,0,13,11.3
03/07/18,vs Syracuse,*,34,7-11,.636,2-5,.400,1-1,1.000,0,3,3,3.7,4,2,0,1,3,17,11.4
03/08/18,vs Miami,*,34,4-9,.444,1-5,.200,2-2,1.000,1,4,5,3.7,3,1,0,3,0,11,11.4
