Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,,14,3-4,.750,0-0,.000,3-5,.600,3,5,8,8.0,0,1,0,0,0,9,9.0
11/15/17, Bucknell,,17,6-10,.600,0-0,.000,4-5,.800,7,6,13,10.5,0,0,2,2,0,16,12.5
11/20/17,at STANFORD,,12,3-4,.750,0-0,.000,1-1,1.000,2,3,5,8.7,4,0,3,0,0,7,10.7
11/23/17,vs Portland,,14,1-4,.250,0-0,.000,3-4,.750,1,7,8,8.5,3,1,2,1,1,5,9.3
11/24/17,vs Arkansas,,8,1-1,1.000,0-0,.000,2-2,1.000,0,2,2,7.2,0,0,2,0,0,4,8.2
11/26/17,vs Michigan State,,10,0-2,.000,0-0,.000,0-0,.000,0,1,1,6.2,3,0,0,0,0,0,6.8
11/29/17, Michigan,,13,2-3,.667,0-0,.000,0-0,.000,1,5,6,6.1,1,1,3,1,0,4,6.4
12/01/17,at Davidson,,10,2-2,1.000,0-0,.000,3-5,.600,0,4,4,5.9,1,0,0,1,0,7,6.5
12/03/17, Tulane,,14,3-4,.750,0-0,.000,1-4,.250,0,3,3,5.6,2,0,1,0,0,7,6.6
12/06/17, Western Carolina,,13,3-4,.750,0-0,.000,3-6,.500,2,2,4,5.4,0,0,3,2,0,9,6.8
12/17/17,at Tennessee,,19,5-8,.625,0-0,.000,0-2,.000,4,4,8,5.6,3,1,1,1,0,10,7.1
12/20/17, Wofford,,7,1-2,.500,0-0,.000,1-3,.333,2,1,3,5.4,2,0,0,1,0,3,6.8
12/23/17,vs Ohio State,,11,0-2,.000,0-0,.000,1-2,.500,0,2,2,5.2,1,1,0,0,0,1,6.3
12/30/17, Wake Forest,,8,1-3,.333,0-0,.000,0-0,.000,1,1,2,4.9,2,0,0,3,0,2,6.0
01/03/18,at Florida State,,15,2-3,.667,0-0,.000,2-2,1.000,4,1,5,4.9,0,1,0,0,0,6,6.0
01/06/18,at Virginia,,12,0-2,.000,0-0,.000,4-4,1.000,4,3,7,5.1,1,0,3,0,0,4,5.9
01/09/18, Boston College,,11,4-8,.500,0-0,.000,1-1,1.000,3,2,5,5.1,1,1,1,1,0,9,6.1
01/13/18,at Notre Dame,,10,3-5,.600,0-0,.000,1-2,.500,2,2,4,5.0,1,0,1,1,0,7,6.1
01/16/18, Clemson,,5,1-2,.500,0-0,.000,1-1,1.000,0,1,1,4.8,2,0,0,0,0,3,5.9
01/20/18, Georgia Tech,,12,4-4,1.000,0-0,.000,1-2,.500,2,1,3,4.7,0,0,0,0,0,9,6.1
01/22/18,at Virginia Tech,,8,0-2,.000,0-0,.000,0-0,.000,0,1,1,4.5,3,1,1,2,0,0,5.8
01/27/18, North Carolina State,,5,0-0,.000,0-0,.000,1-2,.500,0,0,0,4.3,1,0,3,0,1,1,5.6
01/30/18,at Clemson,,20,3-6,.500,0-0,.000,0-0,.000,2,4,6,4.4,3,1,1,2,0,6,5.6
02/03/18, Pittsburgh,,7,3-4,.750,0-0,.000,4-4,1.000,0,1,1,4.3,1,0,1,1,0,10,5.8
02/08/18, Duke,,4,0-1,.000,0-0,.000,4-4,1.000,0,1,1,4.1,0,0,0,0,0,4,5.7
02/10/18,at North Carolina State,,8,2-2,1.000,0-0,.000,1-1,1.000,1,1,2,4.0,3,0,1,1,0,5,5.7
02/12/18, Notre Dame,,7,1-1,1.000,0-0,.000,2-4,.500,0,3,3,4.0,0,0,0,0,0,4,5.6
02/17/18,at LOUISVILLE,,9,3-3,1.000,0-0,.000,2-2,1.000,0,2,2,3.9,1,0,1,1,0,8,5.7
02/21/18,at Syracuse,,17,4-10,.400,0-0,.000,4-5,.800,5,1,6,4.0,0,2,1,1,0,12,5.9
02/27/18, Miami,,4,0-0,.000,0-0,.000,1-2,.500,0,0,0,3.9,1,0,0,0,0,1,5.8
03/03/18,at Duke,,1,0-1,.000,0-0,.000,0-0,.000,0,0,0,3.7,0,0,0,0,0,0,5.6
03/07/18,vs Syracuse,,7,2-5,.400,0-0,.000,2-2,1.000,2,1,3,3.7,0,0,0,0,0,6,5.6
03/08/18,vs Miami,,6,2-2,1.000,0-0,.000,0-0,.000,0,1,1,3.6,1,0,1,1,0,4,5.5
