Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,*,18,5-6,.833,0-0,.000,4-4,1.000,3,3,6,6.0,2,2,3,0,0,14,14.0
11/15/17, Bucknell,*,11,4-6,.667,0-0,.000,2-2,1.000,2,1,3,4.5,4,0,2,1,0,10,12.0
11/20/17,at STANFORD,*,12,0-1,.000,0-0,.000,0-0,.000,0,3,3,4.0,4,0,2,0,0,0,8.0
11/23/17,vs Portland,*,16,3-6,.500,0-0,.000,0-0,.000,1,1,2,3.5,1,1,1,0,1,6,7.5
11/24/17,vs Arkansas,*,19,2-6,.333,0-0,.000,0-0,.000,1,2,3,3.4,0,0,0,1,0,4,6.8
11/26/17,vs Michigan State,*,20,1-6,.167,0-0,.000,0-1,.000,3,3,6,3.8,0,0,3,1,1,2,6.0
11/29/17, Michigan,*,24,3-5,.600,0-0,.000,2-3,.667,3,1,4,3.9,3,2,0,0,0,8,6.3
12/01/17,at Davidson,*,21,0-2,.000,0-0,.000,1-4,.250,0,5,5,4.0,2,0,4,0,1,1,5.6
12/03/17, Tulane,*,16,4-6,.667,0-0,.000,0-2,.000,1,4,5,4.1,3,1,2,1,0,8,5.9
12/06/17, Western Carolina,*,20,4-6,.667,0-0,.000,1-4,.250,1,6,7,4.4,2,2,1,1,0,9,6.2
12/17/17,at Tennessee,*,19,3-6,.500,0-0,.000,3-3,1.000,5,3,8,4.7,0,1,0,0,0,9,6.5
12/20/17, Wofford,*,24,4-5,.800,0-0,.000,2-5,.400,1,2,3,4.6,2,0,0,1,0,10,6.8
12/23/17,vs Ohio State,*,22,2-4,.500,0-0,.000,0-0,.000,2,1,3,4.5,1,0,0,0,0,4,6.5
12/30/17, Wake Forest,*,21,2-3,.667,0-0,.000,2-6,.333,5,2,7,4.6,1,1,0,0,0,6,6.5
01/03/18,at Florida State,*,15,0-2,.000,0-0,.000,0-0,.000,2,4,6,4.7,3,0,0,0,0,0,6.1
01/06/18,at Virginia,*,17,1-2,.500,0-0,.000,0-0,.000,2,0,2,4.6,3,1,3,0,0,2,5.8
01/09/18, Boston College,,16,2-2,1.000,0-0,.000,0-0,.000,1,3,4,4.5,3,0,1,0,1,4,5.7
01/13/18,at Notre Dame,,14,2-2,1.000,0-0,.000,0-0,.000,1,2,3,4.4,0,1,2,1,0,4,5.6
01/16/18, Clemson,,11,1-1,1.000,0-0,.000,0-0,.000,0,3,3,4.4,3,0,1,1,0,2,5.4
01/20/18, Georgia Tech,,8,0-0,.000,0-0,.000,2-2,1.000,1,0,1,4.2,1,1,3,0,0,2,5.3
01/22/18,at Virginia Tech,,14,1-1,1.000,0-0,.000,0-0,.000,0,1,1,4.0,1,0,0,0,0,2,5.1
01/27/18, North Carolina State,,15,3-3,1.000,0-0,.000,2-3,.667,0,1,1,3.9,2,1,0,0,1,8,5.2
01/30/18,at Clemson,,17,1-3,.333,0-0,.000,0-0,.000,2,2,4,3.9,3,1,0,0,0,2,5.1
02/03/18, Pittsburgh,,18,5-6,.833,0-0,.000,0-1,.000,2,0,2,3.8,3,1,2,0,3,10,5.3
02/08/18, Duke,,12,0-1,.000,0-0,.000,0-0,.000,4,1,5,3.9,0,0,0,0,1,0,5.1
02/10/18,at North Carolina State,,7,1-4,.250,0-0,.000,0-0,.000,1,1,2,3.8,1,0,1,0,0,2,5.0
02/12/18, Notre Dame,,7,0-0,.000,0-0,.000,0-0,.000,1,0,1,3.7,1,0,0,0,0,0,4.8
02/17/18,at LOUISVILLE,,9,0-1,.000,0-0,.000,1-2,.500,2,1,3,3.7,3,0,0,0,0,1,4.6
02/21/18,at Syracuse,,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,3.6,0,0,0,0,0,0,4.5
02/27/18, Miami,,7,1-2,.500,0-0,.000,0-0,.000,3,3,6,3.6,1,0,0,0,0,2,4.4
03/03/18,at Duke,,11,2-4,.500,0-0,.000,0-0,.000,2,1,3,3.6,3,0,0,1,0,4,4.4
03/07/18,vs Syracuse,,8,0-1,.000,0-0,.000,3-4,.750,2,1,3,3.6,2,0,0,1,0,3,4.3
03/08/18,vs Miami,,9,2-3,.667,0-0,.000,1-2,.500,1,2,3,3.6,1,1,0,1,0,5,4.4
